"SNN","Smith & Nephew SNATS, Inc.","35.7","HEALTH CARE"
"AXP","American Express Company","75.14","FINANCE","DOW"
"STM","STMicroelectronics N.V.","6.92","TECHNOLOGY"
"SBNB","Scorpio Tankers Inc.","25.2001","TRANSPORTATION"
"PNX","Phoenix Companies, Inc. (The)","14.34","FINANCE"
"WX","Wuxi Pharmatech (Cayman) Inc.","42.7","HEALTH CARE"
"CYN","City National Corporation","87.51","FINANCE"
"PKE","Park Electrochemical Corporation","17.25","TECHNOLOGY"
"EW","Edwards Lifesciences Corporation","139","HEALTH CARE"
"AVV","Aviva plc","27.02","FINANCE"
"NOK","Nokia Corporation","6.62","TECHNOLOGY"
"CCG","Campus Crest Communities, Inc.","4.78","FINANCE"
"GEB","General Electric Company","25.16","FINANCE"
"GJT","Synthetic Fixed-Income Securities, Inc.","17.76","FINANCE"
"TSM","Taiwan Semiconductor Manufacturing Company Ltd.","20.04","TECHNOLOGY"
"RAX","Rackspace Hosting, Inc","30.58","TECHNOLOGY"
"NEWR","New Relic, Inc.","36.3","TECHNOLOGY"
"C^K","Citigroup Inc.","26.68","FINANCE"
"THC","Tenet Healthcare Corporation","47.09","HEALTH CARE"
"LEJU","Leju Holdings Limited","4.78","FINANCE"
"TNP","Tsakos Energy Navigation Ltd","7.73","TRANSPORTATION"
"AEG","Aegon NV","6","FINANCE"
"ASR","Grupo Aeroportuario del Sureste, S.A. de C.V.","149.26","TRANSPORTATION"
"BMY","Bristol-Myers Squibb Company","59.17","HEALTH CARE"
"QTWO","Q2 Holdings, Inc.","28.97","TECHNOLOGY"
"N","Netsuite Inc","87.52","TECHNOLOGY"
"SALT","Scorpio Bulkers Inc.","1.57","TRANSPORTATION"
"WAC","Walter Investment Management Corp.","16.4","FINANCE"
